나이,지역,직업경력,경력년수,참여형식,플랫폼 실적,마케터 파워지수,등급,age,career,plat,region,parti
40대,서울,"운송업,금속,의료",5~6년,전업,R7,77.0,A등급,46,5,57239,14,12.0
40대,서울,"플라스틱,기타,건물",13~14년,전업,R7,77.0,A등급,45,13,77751,14,12.0
40대,전체,"건물,건설업,도매",11~12년,전업,R7,77.0,A등급,40,11,64585,20,12.0
40대,전체,"운송업,서비스업,육류",1~2년,전업,R7,77.0,A등급,45,1,66859,20,12.0
40대,전체,"제조업,서비스업,화물",17~18년,전업,R7,77.0,A등급,42,17,94062,20,12.0
40대,서울,"운송업,육류,소프트웨어",1~2년,전업,R7,77.0,A등급,47,1,58738,14,12.0
40대,서울,"금속,기계,건물",17~18년,전업,R7,77.0,A등급,42,17,55056,14,12.0
40대,전체,"운송업,기타,의료",17~18년,전업,R7,77.0,A등급,41,17,86916,20,12.0
50대,전체,"통신,플라스틱",3~4년,전업,R7,75.5,A등급,57,3,67437,20,12.0
50대,전체,"도매,건물,의료",9~10년,전업,R7,75.5,A등급,54,9,92413,20,12.0
50대,서울,"서비스업,기계,의료",9~10년,전업,R7,75.5,A등급,57,9,70171,14,12.0
50대,서울,"전기,운송업,가공",3~4년,전업,R7,75.5,A등급,57,3,82800,14,12.0
50대,전체,"통신,자동차,가공",3~4년,전업,R7,75.5,A등급,54,3,70553,20,12.0
50대,서울,"플라스틱,서비스업,건설업",5~6년,전업,R7,75.5,A등급,58,5,91682,14,12.0
50대,서울,"도매,제조업,건설업",9~10년,전업,R7,75.5,A등급,58,9,85296,14,12.0
50대,전체,"제조업,건설업,의료",13~14년,전업,R7,75.5,A등급,50,13,64285,20,12.0
50대,전체,"운송업,육류,의료",17~18년,전업,R7,75.5,A등급,53,17,84581,20,12.0
30대,서울,"전기,통신,건물",3~4년,전업,R7,74.0,A등급,34,3,89981,14,12.0
40대,전체,"서비스업,기계,소프트웨어",9~10년,전업,R6,74.0,A등급,44,9,13071,20,12.0
40대,서울,"기계,건물,의료",19년 이상,전업,R6,74.0,A등급,45,20,21515,14,12.0
30대,전체,"운송업,통신,건설업",7~8년,전업,R7,74.0,A등급,32,7,64100,20,12.0
30대,서울,"가공,서비스업,의료",9~10년,전업,R7,74.0,A등급,30,9,91330,14,12.0
40대,전체,"가공,화물,소프트웨어",15~16년,전업,R6,74.0,A등급,48,15,46155,20,12.0
